test,lag_windows,label,n,corr,p_value,low_confidence_flag,lag_days,phase_id,factor,mean_wti_ret,mean_brent_ret,std_wti_ret,std_brent_ret
lead_lag_window,-2.0,BRENT leads WTI by 2 window(s),628,-0.006322587334246362,0.8743547535263352,False,,,,,,,
lead_lag_window,-1.0,BRENT leads WTI by 1 window(s),742,-0.032325356412230666,0.37925081631519447,False,,,,,,,
lead_lag_window,0.0,Contemporaneous,856,0.18961531055332378,2.2661208553895693e-08,False,,,,,,,
lead_lag_window,1.0,WTI leads BRENT by 1 window(s),743,-0.02156699873605925,0.557235741234713,False,,,,,,,
lead_lag_window,2.0,WTI leads BRENT by 2 window(s),630,0.013298465892079463,0.7390280846189308,False,,,,,,,
lead_lag_daily,,BRENT leads WTI by 3d,139,-0.10629980981273542,0.2129586026426163,False,-3.0,,,,,,
lead_lag_daily,,BRENT leads WTI by 2d,140,-0.09806065801886797,0.24905515209181703,False,-2.0,,,,,,
lead_lag_daily,,BRENT leads WTI by 1d,141,0.06387714125711227,0.45174073992490116,False,-1.0,,,,,,
lead_lag_daily,,Contemporaneous,142,0.7506462572943765,5.640623748581126e-27,False,0.0,,,,,,
lead_lag_daily,,WTI leads BRENT by 1d,141,0.10235234662138759,0.22715396662567133,False,1.0,,,,,,
lead_lag_daily,,WTI leads BRENT by 2d,140,-0.09958289228687417,0.24174785854662992,False,2.0,,,,,,
lead_lag_daily,,WTI leads BRENT by 3d,139,-0.07619281021132049,0.3726690821948069,False,3.0,,,,,,
eia_wednesday,,,5,,,,,1.0,is_wed,-0.0010711933849139044,0.9319622304170319,2.846352014462389,4.135314466195537
eia_wednesday,,,21,,,,,1.0,non_wed,2.429651428991933,1.4740274766927601,6.618534083289807,3.839717195422304
eia_wednesday,,,14,,,,,2.0,is_wed,-0.7632309559520997,-2.464406840999092,8.495396812985083,7.288924232951655
eia_wednesday,,,50,,,,,2.0,non_wed,-0.03421556093232242,0.5930502382724688,2.904771506104572,2.8803672565120864
eia_wednesday,,,2,,,,,5.0,is_wed,-3.561713919045367,-3.2127577664184,1.1193062808549388,1.3714266990076147
eia_wednesday,,,10,,,,,5.0,non_wed,0.3447810530408102,0.30131354879656347,2.7202825844173986,2.548857586242292
weekly_structure,,,27,,,,,0.0,monday,1.0262354320591924,1.0480528172360262,4.459573601993327,4.404357888058871
weekly_structure,,,27,,,,,0.0,friday,-0.39691030541960337,0.8856252808856914,3.6481348176947046,3.0083973673136715
weekly_structure,,,89,,,,,0.0,other,0.21110523870406156,-0.2020619890380829,4.942608075748464,4.206486443725934
opec_meeting_day,,,137,,,,,0.0,non_opec_day,0.34053360013454703,0.2743013379734095,4.6450503804089065,4.049943968898127
opec_meeting_day,,,6,,,,,0.0,opec_meeting_day,-1.9264433977378703,-0.6878738594537895,3.943305484329411,4.547768471794114
