phase_id,session_window_ist,stream,n_own,p_up_own,p_dn_own,p_fl_own,mean_ret_own,borrowed_from_phase,borrow_weight,p_up_blended,p_dn_blended,p_fl_blended,mean_ret_blended
10,europe_midday,BRENT_session,14,28.6,57.1,14.3,-0.731,7,0.5,34.3,43.6,22.1,-0.307
10,global_reopen_pre_mcx,BRENT_session,13,30.8,23.1,46.2,0.125,7,0.5,40.4,26.5,33.1,0.152
10,india_midday,BRENT_session,14,57.1,35.7,7.1,0.417,7,0.5,43.6,42.9,13.6,-0.837
10,india_morning,BRENT_session,13,30.8,30.8,38.5,0.071,7,0.5,35.4,30.4,34.2,0.072
10,mcx_open_drive,BRENT_session,13,30.8,30.8,38.5,0.026,7,0.5,15.4,30.4,54.2,-0.036
10,mcx_tail,BRENT_session,14,57.1,21.4,21.4,0.13,7,0.5,48.6,10.7,40.7,0.334
10,other_valid_hours,BRENT_session,13,15.4,30.8,53.8,-0.147,7,0.5,27.7,20.4,51.9,0.01
10,us_open,BRENT_session,28,53.6,25.0,21.4,0.338,7,0.5,44.3,35.0,20.7,0.56
10,us_pre_open,BRENT_session,14,42.9,42.9,14.3,-0.055,7,0.5,56.4,36.4,7.1,0.665
10,europe_midday,WTI_session,14,28.6,64.3,7.1,-0.743,7,0.5,39.3,52.1,8.6,-0.428
10,global_reopen_pre_mcx,WTI_session,14,21.4,35.7,42.9,-0.065,7,0.5,30.7,37.9,31.4,0.054
10,india_midday,WTI_session,14,57.1,28.6,14.3,0.5,7,0.5,48.6,29.3,22.1,0.319
10,india_morning,WTI_session,14,28.6,42.9,28.6,-0.005,7,0.5,34.3,36.4,29.3,0.031
10,mcx_open_drive,WTI_session,14,28.6,35.7,35.7,0.008,7,0.5,24.3,37.9,37.9,-0.058
10,mcx_tail,WTI_session,14,50.0,28.6,21.4,0.07,7,0.5,50.0,19.3,30.7,0.307
10,other_valid_hours,WTI_session,14,21.4,28.6,50.0,-0.024,7,0.5,25.7,19.3,55.0,0.08
10,us_open,WTI_session,28,57.1,14.3,28.6,0.366,7,0.5,46.1,29.6,24.3,0.156
10,us_pre_open,WTI_session,14,21.4,35.7,42.9,-0.145,7,0.5,40.7,22.9,36.4,0.22
