phase_id,window,n_high,n_low
1.0,asia_early,1.0,5.0
1.0,europe_midday,0.0,6.0
1.0,global_reopen_pre_mcx,7.0,2.0
1.0,india_midday,0.0,3.0
1.0,india_morning,0.0,1.0
1.0,mcx_open_drive,1.0,0.0
1.0,other_valid_hours,11.0,9.0
1.0,us_late,6.0,6.0
1.0,us_open,8.0,1.0
1.0,us_pre_open,2.0,3.0
2.0,europe_midday,9.0,6.0
2.0,global_reopen_pre_mcx,20.0,21.0
2.0,india_midday,11.0,9.0
2.0,india_morning,6.0,5.0
2.0,mcx_open_drive,6.0,0.0
2.0,mcx_tail,6.0,7.0
2.0,other_valid_hours,10.0,7.0
2.0,us_open,15.0,10.0
2.0,us_pre_open,3.0,21.0
3.0,global_reopen_pre_mcx,4.0,0.0
3.0,india_midday,0.0,4.0
3.0,other_valid_hours,2.0,2.0
3.0,us_open,0.0,2.0
3.0,us_pre_open,2.0,0.0
4.0,global_reopen_pre_mcx,6.0,2.0
4.0,india_midday,0.0,3.0
4.0,mcx_tail,2.0,0.0
4.0,us_open,2.0,4.0
4.0,us_pre_open,0.0,1.0
5.0,europe_midday,0.0,2.0
5.0,global_reopen_pre_mcx,12.0,7.0
5.0,india_midday,0.0,4.0
5.0,india_morning,1.0,0.0
5.0,mcx_tail,2.0,2.0
5.0,other_valid_hours,4.0,3.0
5.0,us_open,3.0,4.0
5.0,us_pre_open,2.0,2.0
6.0,global_reopen_pre_mcx,2.0,0.0
6.0,india_morning,0.0,2.0
6.0,mcx_tail,0.0,2.0
6.0,us_open,4.0,2.0
7.0,europe_midday,2.0,3.0
7.0,global_reopen_pre_mcx,4.0,3.0
7.0,india_midday,3.0,7.0
7.0,india_morning,0.0,2.0
7.0,mcx_tail,4.0,1.0
7.0,other_valid_hours,2.0,0.0
7.0,us_open,2.0,4.0
7.0,us_pre_open,3.0,0.0
8.0,global_reopen_pre_mcx,2.0,0.0
8.0,other_valid_hours,0.0,2.0
9.0,global_reopen_pre_mcx,0.0,2.0
9.0,india_midday,1.0,0.0
9.0,india_morning,3.0,2.0
9.0,other_valid_hours,1.0,0.0
9.0,us_open,2.0,2.0
9.0,us_pre_open,1.0,2.0
10.0,europe_midday,2.0,1.0
10.0,global_reopen_pre_mcx,1.0,7.0
10.0,india_midday,6.0,2.0
10.0,india_morning,3.0,3.0
10.0,mcx_open_drive,4.0,1.0
10.0,mcx_tail,2.0,0.0
10.0,other_valid_hours,4.0,2.0
10.0,us_open,4.0,2.0
10.0,us_pre_open,2.0,10.0
