phase_id,__stream,rows
1,WTI_5m,4846
1,BRENT_5m,4806
1,BRENT_15m,1618
1,WTI_15m,1618
1,BRENT_60m,423
1,WTI_60m,423
1,BRENT_session,143
1,WTI_session,143
1,BRENT_daily,26
1,WTI_daily,26
2,WTI_5m,11574
2,BRENT_5m,11271
2,BRENT_15m,3867
2,WTI_15m,3866
2,BRENT_60m,1009
2,WTI_60m,1009
2,WTI_session,425
2,BRENT_session,425
2,WTI_daily,43
2,BRENT_daily,43
3,WTI_5m,1104
3,BRENT_5m,1083
3,BRENT_15m,366
3,WTI_15m,359
3,WTI_60m,96
3,BRENT_60m,96
3,BRENT_session,40
3,WTI_session,40
3,BRENT_daily,4
3,WTI_daily,4
4,WTI_5m,1174
4,BRENT_5m,1136
4,BRENT_15m,390
4,WTI_60m,103
4,BRENT_60m,103
4,WTI_session,42
4,BRENT_session,42
4,BRENT_daily,5
4,WTI_daily,5
5,WTI_5m,3106
5,BRENT_5m,2923
5,BRENT_15m,1019
5,BRENT_60m,274
5,WTI_60m,271
5,BRENT_session,112
5,WTI_session,112
5,WTI_daily,12
5,BRENT_daily,12
6,WTI_5m,828
6,BRENT_5m,798
6,BRENT_15m,273
6,WTI_15m,194
6,BRENT_60m,93
6,WTI_60m,72
6,WTI_session,30
6,BRENT_session,30
6,BRENT_daily,3
6,WTI_daily,3
7,WTI_5m,2755
7,BRENT_5m,2614
7,WTI_15m,920
7,BRENT_15m,912
7,BRENT_60m,240
7,WTI_60m,240
7,WTI_session,100
7,BRENT_session,100
7,BRENT_daily,10
7,WTI_daily,10
8,WTI_5m,274
8,BRENT_5m,261
8,BRENT_15m,92
8,WTI_15m,92
8,WTI_60m,24
8,BRENT_60m,24
8,BRENT_session,10
8,WTI_session,10
8,BRENT_daily,1
8,WTI_daily,1
9,WTI_5m,1101
9,BRENT_5m,695
9,WTI_15m,368
9,BRENT_15m,308
9,WTI_60m,96
9,BRENT_60m,92
9,WTI_session,40
9,BRENT_session,39
9,BRENT_daily,4
9,WTI_daily,4
10,WTI_5m,2451
10,BRENT_5m,2213
10,WTI_15m,819
10,BRENT_15m,760
10,WTI_60m,213
10,BRENT_60m,201
10,WTI_session,89
10,BRENT_session,85
10,WTI_daily,9
10,BRENT_daily,9
