__stream,session_window_ist,rows
BRENT_15m,global_reopen_pre_mcx,2410
BRENT_15m,us_open,1378
BRENT_15m,india_midday,1361
BRENT_15m,europe_midday,1147
BRENT_15m,us_pre_open,919
BRENT_15m,india_morning,892
BRENT_15m,us_late,661
BRENT_15m,mcx_open_drive,660
BRENT_15m,mcx_tail,457
BRENT_15m,asia_early,445
BRENT_5m,global_reopen_pre_mcx,6393
BRENT_5m,us_open,3965
BRENT_5m,india_midday,3889
BRENT_5m,europe_midday,3285
BRENT_5m,us_pre_open,2634
BRENT_5m,india_morning,2501
BRENT_5m,us_late,1882
BRENT_5m,mcx_open_drive,1735
BRENT_5m,mcx_tail,1316
BRENT_5m,asia_early,1245
BRENT_60m,global_reopen_pre_mcx,555
BRENT_60m,us_open,339
BRENT_60m,india_midday,338
BRENT_60m,europe_midday,226
BRENT_60m,us_pre_open,226
BRENT_60m,india_morning,222
BRENT_60m,mcx_open_drive,222
BRENT_60m,asia_early,218
BRENT_60m,us_late,216
BRENT_60m,mcx_tail,113
BRENT_daily,us_late,121
BRENT_session,us_open,222
BRENT_session,europe_midday,111
BRENT_session,us_pre_open,111
BRENT_session,other_valid_hours,107
BRENT_session,india_midday,99
BRENT_session,mcx_open_drive,99
BRENT_session,mcx_tail,99
BRENT_session,global_reopen_pre_mcx,98
BRENT_session,india_morning,97
BRENT_session,us_late,12
BRENT_session,asia_early,11
WTI_15m,global_reopen_pre_mcx,2022
WTI_15m,us_open,1140
WTI_15m,india_midday,1128
WTI_15m,europe_midday,950
WTI_15m,us_pre_open,760
WTI_15m,india_morning,744
WTI_15m,mcx_open_drive,556
WTI_15m,us_late,552
WTI_15m,mcx_tail,380
WTI_15m,asia_early,372
WTI_5m,global_reopen_pre_mcx,7217
WTI_5m,us_open,3996
WTI_5m,india_midday,3957
WTI_5m,europe_midday,3328
WTI_5m,us_pre_open,2664
WTI_5m,india_morning,2609
WTI_5m,mcx_open_drive,1968
WTI_5m,us_late,1944
WTI_5m,mcx_tail,1332
WTI_5m,asia_early,1300
WTI_60m,global_reopen_pre_mcx,550
WTI_60m,us_open,333
WTI_60m,india_midday,332
WTI_60m,europe_midday,222
WTI_60m,us_pre_open,222
WTI_60m,mcx_open_drive,220
WTI_60m,india_morning,219
WTI_60m,asia_early,218
WTI_60m,us_late,216
WTI_60m,mcx_tail,111
WTI_daily,us_late,121
WTI_session,us_open,222
WTI_session,europe_midday,111
WTI_session,us_pre_open,111
WTI_session,other_valid_hours,109
WTI_session,mcx_open_drive,100
WTI_session,global_reopen_pre_mcx,99
WTI_session,india_midday,99
WTI_session,mcx_tail,99
WTI_session,india_morning,98
WTI_session,us_late,12
WTI_session,asia_early,11
