__stream,day_archetype,phase_id,count
BRENT_daily,all_day_trend_down,-1,1
BRENT_daily,all_day_trend_up,-1,1
BRENT_daily,gap_and_fade,-1,0
BRENT_daily,gap_and_hold_up,-1,0
BRENT_daily,late_session_decisive_down,-1,0
BRENT_daily,late_session_decisive_up,-1,0
BRENT_daily,mixed_regime,-1,0
BRENT_daily,whipsaw_two_sided,-1,1
WTI_daily,all_day_trend_down,-1,1
WTI_daily,all_day_trend_up,-1,0
WTI_daily,gap_and_fade,-1,0
WTI_daily,gap_and_hold_up,-1,0
WTI_daily,late_session_decisive_down,-1,0
WTI_daily,late_session_decisive_up,-1,0
WTI_daily,mixed_regime,-1,1
WTI_daily,whipsaw_two_sided,-1,1
BRENT_daily,all_day_trend_down,1,2
BRENT_daily,all_day_trend_up,1,7
BRENT_daily,gap_and_fade,1,1
BRENT_daily,gap_and_hold_up,1,2
BRENT_daily,late_session_decisive_down,1,0
BRENT_daily,late_session_decisive_up,1,2
BRENT_daily,mixed_regime,1,6
BRENT_daily,whipsaw_two_sided,1,6
WTI_daily,all_day_trend_down,1,2
WTI_daily,all_day_trend_up,1,4
WTI_daily,gap_and_fade,1,1
WTI_daily,gap_and_hold_up,1,2
WTI_daily,late_session_decisive_down,1,0
WTI_daily,late_session_decisive_up,1,3
WTI_daily,mixed_regime,1,8
WTI_daily,whipsaw_two_sided,1,6
BRENT_daily,all_day_trend_down,2,12
BRENT_daily,all_day_trend_up,2,10
BRENT_daily,gap_and_fade,2,1
BRENT_daily,gap_and_hold_up,2,5
BRENT_daily,late_session_decisive_down,2,1
BRENT_daily,late_session_decisive_up,2,1
BRENT_daily,mixed_regime,2,1
BRENT_daily,whipsaw_two_sided,2,12
WTI_daily,all_day_trend_down,2,10
WTI_daily,all_day_trend_up,2,9
WTI_daily,gap_and_fade,2,1
WTI_daily,gap_and_hold_up,2,5
WTI_daily,late_session_decisive_down,2,1
WTI_daily,late_session_decisive_up,2,1
WTI_daily,mixed_regime,2,5
WTI_daily,whipsaw_two_sided,2,11
BRENT_daily,all_day_trend_down,3,2
BRENT_daily,all_day_trend_up,3,1
BRENT_daily,gap_and_fade,3,0
BRENT_daily,gap_and_hold_up,3,0
BRENT_daily,late_session_decisive_down,3,0
BRENT_daily,late_session_decisive_up,3,0
BRENT_daily,mixed_regime,3,0
BRENT_daily,whipsaw_two_sided,3,1
WTI_daily,all_day_trend_down,3,1
WTI_daily,all_day_trend_up,3,1
WTI_daily,gap_and_fade,3,0
WTI_daily,gap_and_hold_up,3,0
WTI_daily,late_session_decisive_down,3,0
WTI_daily,late_session_decisive_up,3,0
WTI_daily,mixed_regime,3,1
WTI_daily,whipsaw_two_sided,3,1
BRENT_daily,all_day_trend_down,4,1
BRENT_daily,all_day_trend_up,4,0
BRENT_daily,gap_and_fade,4,1
BRENT_daily,gap_and_hold_up,4,0
BRENT_daily,late_session_decisive_down,4,0
BRENT_daily,late_session_decisive_up,4,0
BRENT_daily,mixed_regime,4,0
BRENT_daily,whipsaw_two_sided,4,3
WTI_daily,all_day_trend_down,4,1
WTI_daily,all_day_trend_up,4,0
WTI_daily,gap_and_fade,4,1
WTI_daily,gap_and_hold_up,4,0
WTI_daily,late_session_decisive_down,4,0
WTI_daily,late_session_decisive_up,4,0
WTI_daily,mixed_regime,4,0
WTI_daily,whipsaw_two_sided,4,3
BRENT_daily,all_day_trend_down,5,3
BRENT_daily,all_day_trend_up,5,2
BRENT_daily,gap_and_fade,5,1
BRENT_daily,gap_and_hold_up,5,1
BRENT_daily,late_session_decisive_down,5,0
BRENT_daily,late_session_decisive_up,5,0
BRENT_daily,mixed_regime,5,1
BRENT_daily,whipsaw_two_sided,5,4
WTI_daily,all_day_trend_down,5,3
WTI_daily,all_day_trend_up,5,2
WTI_daily,gap_and_fade,5,1
WTI_daily,gap_and_hold_up,5,2
WTI_daily,late_session_decisive_down,5,0
WTI_daily,late_session_decisive_up,5,0
WTI_daily,mixed_regime,5,1
WTI_daily,whipsaw_two_sided,5,3
BRENT_daily,all_day_trend_down,6,1
BRENT_daily,all_day_trend_up,6,0
BRENT_daily,gap_and_fade,6,0
BRENT_daily,gap_and_hold_up,6,0
BRENT_daily,late_session_decisive_down,6,0
BRENT_daily,late_session_decisive_up,6,0
BRENT_daily,mixed_regime,6,0
BRENT_daily,whipsaw_two_sided,6,2
WTI_daily,all_day_trend_down,6,1
WTI_daily,all_day_trend_up,6,0
WTI_daily,gap_and_fade,6,0
WTI_daily,gap_and_hold_up,6,0
WTI_daily,late_session_decisive_down,6,0
WTI_daily,late_session_decisive_up,6,0
WTI_daily,mixed_regime,6,0
WTI_daily,whipsaw_two_sided,6,2
BRENT_daily,all_day_trend_down,7,0
BRENT_daily,all_day_trend_up,7,2
BRENT_daily,gap_and_fade,7,0
BRENT_daily,gap_and_hold_up,7,1
BRENT_daily,late_session_decisive_down,7,0
BRENT_daily,late_session_decisive_up,7,0
BRENT_daily,mixed_regime,7,3
BRENT_daily,whipsaw_two_sided,7,4
WTI_daily,all_day_trend_down,7,2
WTI_daily,all_day_trend_up,7,3
WTI_daily,gap_and_fade,7,0
WTI_daily,gap_and_hold_up,7,1
WTI_daily,late_session_decisive_down,7,0
WTI_daily,late_session_decisive_up,7,0
WTI_daily,mixed_regime,7,3
WTI_daily,whipsaw_two_sided,7,1
BRENT_daily,all_day_trend_down,8,0
BRENT_daily,all_day_trend_up,8,0
BRENT_daily,gap_and_fade,8,1
BRENT_daily,gap_and_hold_up,8,0
BRENT_daily,late_session_decisive_down,8,0
BRENT_daily,late_session_decisive_up,8,0
BRENT_daily,mixed_regime,8,0
BRENT_daily,whipsaw_two_sided,8,0
WTI_daily,all_day_trend_down,8,0
WTI_daily,all_day_trend_up,8,0
WTI_daily,gap_and_fade,8,1
WTI_daily,gap_and_hold_up,8,0
WTI_daily,late_session_decisive_down,8,0
WTI_daily,late_session_decisive_up,8,0
WTI_daily,mixed_regime,8,0
WTI_daily,whipsaw_two_sided,8,0
BRENT_daily,all_day_trend_down,9,1
BRENT_daily,all_day_trend_up,9,1
BRENT_daily,gap_and_fade,9,0
BRENT_daily,gap_and_hold_up,9,0
BRENT_daily,late_session_decisive_down,9,0
BRENT_daily,late_session_decisive_up,9,0
BRENT_daily,mixed_regime,9,0
BRENT_daily,whipsaw_two_sided,9,2
WTI_daily,all_day_trend_down,9,1
WTI_daily,all_day_trend_up,9,1
WTI_daily,gap_and_fade,9,0
WTI_daily,gap_and_hold_up,9,0
WTI_daily,late_session_decisive_down,9,0
WTI_daily,late_session_decisive_up,9,0
WTI_daily,mixed_regime,9,0
WTI_daily,whipsaw_two_sided,9,2
BRENT_daily,all_day_trend_down,10,1
BRENT_daily,all_day_trend_up,10,4
BRENT_daily,gap_and_fade,10,0
BRENT_daily,gap_and_hold_up,10,1
BRENT_daily,late_session_decisive_down,10,1
BRENT_daily,late_session_decisive_up,10,0
BRENT_daily,mixed_regime,10,2
BRENT_daily,whipsaw_two_sided,10,5
WTI_daily,all_day_trend_down,10,1
WTI_daily,all_day_trend_up,10,5
WTI_daily,gap_and_fade,10,0
WTI_daily,gap_and_hold_up,10,0
WTI_daily,late_session_decisive_down,10,1
WTI_daily,late_session_decisive_up,10,0
WTI_daily,mixed_regime,10,1
WTI_daily,whipsaw_two_sided,10,6
