stream,session_window_ist,phase_id,factor,n,top_magnitude_tier,pct_top_tier,mean_return_pct
BRENT_session,asia_early,1.0,non_wednesday,9,Q1_0_25,44.44444444444444,0.2898374145823054
BRENT_session,europe_midday,1.0,non_wednesday,15,Q3_50_75,26.666666666666668,-0.4923478256719969
BRENT_session,europe_midday,2.0,non_wednesday,34,Q1_0_25,26.47058823529412,-0.3438022842693391
BRENT_session,europe_midday,2.0,is_wednesday_eia_day,9,Q3_50_75,33.33333333333333,-0.488226920504738
BRENT_session,europe_midday,5.0,non_wednesday,9,Q1_0_25,33.33333333333333,0.10913388712480693
BRENT_session,europe_midday,7.0,non_wednesday,8,Q1_0_25,37.5,0.10776649019634749
BRENT_session,europe_midday,10.0,non_wednesday,7,Q1_0_25,42.857142857142854,-1.2926507053682272
BRENT_session,global_reopen_pre_mcx,1.0,non_wednesday,5,Q1_0_25,40.0,0.8380121433436081
BRENT_session,global_reopen_pre_mcx,2.0,non_wednesday,32,Q3_50_75,28.125,0.23003952253312482
BRENT_session,global_reopen_pre_mcx,2.0,is_wednesday_eia_day,9,Q1_0_25,33.33333333333333,-1.4755062251456392
BRENT_session,global_reopen_pre_mcx,5.0,non_wednesday,10,Q2_25_50,40.0,-0.4384191949533579
BRENT_session,global_reopen_pre_mcx,7.0,non_wednesday,8,Q1_0_25,37.5,0.06716603917516967
BRENT_session,global_reopen_pre_mcx,10.0,non_wednesday,6,Q1_0_25,50.0,0.10444127774655902
BRENT_session,india_midday,1.0,non_wednesday,5,Q2_25_50,60.0,-0.2893488673339311
BRENT_session,india_midday,2.0,non_wednesday,34,Q1_0_25,26.47058823529412,-0.6035866415899662
BRENT_session,india_midday,2.0,is_wednesday_eia_day,9,Q3_50_75,33.33333333333333,-0.06149983820583644
BRENT_session,india_midday,5.0,non_wednesday,9,Q2_25_50,44.44444444444444,0.07168224662773072
BRENT_session,india_midday,7.0,non_wednesday,8,Q2_25_50,37.5,-1.4382642163285715
BRENT_session,india_midday,10.0,non_wednesday,7,Q1_0_25,42.857142857142854,0.2607404094541521
