feature,importance
GOLD_ma_50,0.04304176645939242
DXY_ma_50,0.04247983798865349
SPX_ma_50,0.041306786374895585
VIX_ma_50,0.0374768276154143
DXY_ma_20,0.03712583932867418
BRENT,0.036410271955287586
US10Y_ma_50,0.03611895416841881
WTI,0.03547901297515933
wti_ret_vol_20d,0.03439168752340793
US10Y_ma_20,0.032074515028142445
GOLD_ma_20,0.03193917083529377
wti_brent_corr_20d,0.030609803005761885
copper_gold_ratio,0.02559612919515541
BRENT_ret_20d,0.025021734364440284
brent_close_native_ret_10d,0.024343139770156452
SPX,0.023277960936728584
GOLD_trend_strength,0.021550993613161224
SPX_ma_20,0.021029247053656736
VIX_ma_20,0.020550939541703367
COPPER,0.0180287614334853
SILVER,0.017639863440684016
GOLD_ret_20d,0.01756444019519186
wti_close_native_ret_20d,0.016484869303530585
wti_close_native_ret_10d,0.014526769257879902
GOLD,0.014157587418538177
brent_volume_ratio,0.01392126581209367
WTI_ret_20d,0.013895108130095429
brent_close_native_ret_20d,0.012850352216826748
VIX,0.012654765626870016
DXY,0.01235684420039406
DXY_trend_strength,0.011806431064721309
SILVER_ret_20d,0.011265945505963354
NATGAS_ret_20d,0.011168965807290756
brent_ret_vol_20d,0.010930701750186018
NATGAS,0.010892367223852766
brent_wti_spread,0.010824575175295406
brent_wti_spread_pct,0.010461648014202568
SPX_ret_20d,0.010314013656675764
wti_volume_ratio,0.010144446988821741
wti_ret_vol_10d,0.009929889102337877
wti_dxy_corr_20d,0.009845650365781935
US10Y_ret_20d,0.009364140198320648
BRENT_ret_5d,0.00908224603453987
yield_curve_steep,0.008428671657168832
US10Y,0.007835788811418384
brent_close_native_ret_5d,0.007010038699596965
WTI_ret_5d,0.006828992249568154
SPX_trend_strength,0.00678659405410097
COPPER_ret_20d,0.006643928987826929
wti_ret_vol_5d,0.006206348499823587
wti_close_native_ret_5d,0.005940253798237088
DXY_ret_20d,0.005151891454465189
VIX_ret_20d,0.0031223836345083303
DXY_trend,0.0031027436011549754
VIX_trend_strength,0.002876393666273043
wti_close_native_ret_3d,0.0028532052915500954
brent_ret_vol_5d,0.002598894547774401
US10Y_trend_strength,0.0023945400255458126
inflation_hedge,0.0023530738429827992
brent_ret_vol_10d,0.0023465295982640906
VIX_ret_5d,0.0020395945203141746
GOLD_ret_5d,0.0017514896898905678
risk_on_score,0.0017286739938272636
GOLD_trend,0.0011284327900785301
brent_range_pct,0.001078415901475976
DXY_ret_5d,0.0010433951322482355
NATGAS_ret_5d,0.0009640386110930975
SPX_ret_5d,0.0009321307688452131
US10Y_ret_5d,0.0008162198293453456
brent_close_native_ret_3d,0.0008085922949798197
COPPER_ret_1d,0.0007279428035968748
SPX_trend,0.0006674049405944898
VIX_ret_1d,0.0006103978657509977
US10Y_ret_1d,0.0006066558762028061
wti_range_pct,0.0004723723723723724
COPPER_ret_5d,0.0004064295547998287
wti_lower_wick,0.0003887321938821711
DXY_ret_1d,0.0002984549550267088
NATGAS_ret_1d,0.00026747781213159246
brent_close_native_ret_1d,0.00026355608458024593
wti_upper_wick,0.0002099320132933188
SILVER_ret_5d,0.00016928276854183814
brent_upper_wick,0.00012419313193906526
WTI_ret_1d,4.072709892741961e-05
wti_close_native_ret_1d,3.891891891891896e-05
brent_body_pct,0.0
wti_ret,0.0
brent_ret,0.0
brent_lower_wick,0.0
wti_body_pct,0.0
SPX_ret_1d,0.0
SILVER_ret_1d,0.0
BRENT_ret_1d,0.0
GOLD_ret_1d,0.0
US10Y_trend,0.0
VIX_trend,0.0
macro_regime,0.0
vix_regime,0.0
dollar_regime,0.0
