trade_date_ist,geo_bucket_primary,price_path_bucket_primary,europe_open_direction,europe_mid_direction,us_open_direction,us_late_direction,did_europe_open_set_day_high_flag,did_europe_open_set_day_low_flag,did_us_open_extend_europe_flag,did_us_open_reverse_europe_flag,strongest_window_of_day,weakest_window_of_day,window_sequence_short,global_reopen_pre_mcx_direction,mcx_open_drive_direction,india_morning_direction,india_midday_direction,us_pre_open_direction,mcx_tail_direction
12-03-2026,,all_day_trend_up,UP,UP,DOWN,UP,,,,,other_valid_hours,us_pre_open,europe_open -> europe_mid -> us_pre_open -> us_open -> us_late,,,,,,
13-03-2026,,all_day_trend_up,DOWN,UP,DOWN,UP,,,,,other_valid_hours,us_open,asia_early -> europe_open -> europe_mid -> us_pre_open -> us_open -> us_late,,,,,,
16-03-2026,,all_day_trend_down,DOWN,DOWN,UP,DOWN,,,,,other_valid_hours,us_late,asia_early -> europe_open -> europe_mid -> us_pre_open -> us_open -> us_late,,,,,,
17-03-2026,,mixed_regime_day,UP,DOWN,UP,UP,,,,,europe_mid,us_pre_open,asia_early -> europe_open -> europe_mid -> us_pre_open -> us_open -> us_late,,,,,,
18-03-2026,,all_day_trend_up,UP,UP,DOWN,UP,,,,,other_valid_hours,europe_open,asia_early -> europe_open -> europe_mid -> us_pre_open -> us_open -> us_late,,,,,,
19-03-2026,,mixed_regime_day,DOWN,DOWN,DOWN,DOWN,,,,,us_open,asia_early,asia_early -> europe_open -> europe_mid -> us_pre_open -> us_open -> us_late,,,,,,
20-03-2026,,all_day_trend_up,DOWN,UP,UP,UP,,,,,other_valid_hours,us_open,asia_early -> europe_open -> europe_mid -> us_pre_open -> us_open -> us_late,,,,,,
23-03-2026,,mixed_regime_day,DOWN,UP,UP,DOWN,,,,,other_valid_hours,us_late,asia_early -> europe_open -> europe_mid -> us_pre_open -> us_open -> us_late,,,,,,
24-03-2026,,range_chop,UP,UP,UP,DOWN,,,,,us_late,europe_open,asia_early -> europe_open -> europe_mid -> us_pre_open -> us_open -> us_late,,,,,,
25-03-2026,,all_day_trend_up,DOWN,UP,UP,UP,,,,,other_valid_hours,asia_early,asia_early -> europe_open -> europe_mid -> us_pre_open -> us_open -> us_late,,,,,,
26-03-2026,,mixed_regime_day,UP,DOWN,UP,DOWN,,,,,other_valid_hours,us_open,asia_early -> europe_open -> europe_mid -> us_pre_open -> us_open -> us_late,,,,,,
27-03-2026,,all_day_trend_up,UP,DOWN,UP,UP,,,,,other_valid_hours,europe_mid,asia_early -> europe_open -> europe_mid -> us_pre_open -> us_open -> us_late,,,,,,
30-03-2026,,all_day_trend_up,DOWN,UP,UP,UP,,,,,other_valid_hours,europe_mid,asia_early -> europe_open -> europe_mid -> us_pre_open -> us_open -> us_late,,,,,,
31-03-2026,,mixed_regime_day,DOWN,DOWN,DOWN,DOWN,,,,,us_open,us_late,asia_early -> europe_open -> europe_mid -> us_pre_open -> us_open -> us_late,,,,,,
01-04-2026,,mixed_regime_day,DOWN,DOWN,DOWN,DOWN,,,,,other_valid_hours,us_late,asia_early -> europe_open -> europe_mid -> us_pre_open -> us_open -> us_late,,,,,,
