source_name,source_url,original_url,final_url,canonical_url,normalized_canonical_key,discovery_method,candidate_score,matched_regex,article_type_signal,title_source,datetime_source,description_source,ok,status_code,error,blocked_flag,headline,headline_preview,event_datetime_original,event_datetime_ist,trade_date_ist,keyword_relevance_score,extraction_quality,kept,reject_stage,reject_reason
Al Jazeera,https://www.aljazeera.com/news/2026/6/4/democrat-fails-to-block-us-measure-to-deepen-israel-military-cooperation,https://www.aljazeera.com/news/2026/6/4/democrat-fails-to-block-us-measure-to-deepen-israel-military-cooperation,https://www.aljazeera.com/news/2026/6/4/democrat-fails-to-block-us-measure-to-deepen-israel-military-cooperation,https://www.aljazeera.com/news/2026/6/4/democrat-fails-to-block-us-measure-to-deepen-israel-military-cooperation,aljazeera.com/news/2026/6/4/democrat-fails-to-block-us-measure-to-deepen-israel-military-cooperation,sitemap,,,high,og:title,jsonld:datePublished,og:description,True,200,,False,Democrat fails to block US measure to deepen Israel military cooperation,Democrat fails to block US measure to deepen Israel military cooperation,parsed_direct,2026-06-05 04:58:13+05:30,2026-06-05,8,extracted_verified,True,,
Al Jazeera,https://www.aljazeera.com/economy/2026/6/4/maha-moms-test-their-influence-in-us-glyphosate-fight,https://www.aljazeera.com/economy/2026/6/4/maha-moms-test-their-influence-in-us-glyphosate-fight,https://www.aljazeera.com/economy/2026/6/4/maha-moms-test-their-influence-in-us-glyphosate-fight,https://www.aljazeera.com/economy/2026/6/4/maha-moms-test-their-influence-in-us-glyphosate-fight,aljazeera.com/economy/2026/6/4/maha-moms-test-their-influence-in-us-glyphosate-fight,sitemap,,,high,og:title,jsonld:datePublished,og:description,True,200,,False,MAHA moms test their influence in US glyphosate fight,MAHA moms test their influence in US glyphosate fight,parsed_direct,2026-06-04 21:06:41+05:30,2026-06-04,10,extracted_verified,True,,
Al Jazeera,https://www.aljazeera.com/news/2026/6/4/first-us-screwworm-case-in-60-years-should-america-be-worried,https://www.aljazeera.com/news/2026/6/4/first-us-screwworm-case-in-60-years-should-america-be-worried,https://www.aljazeera.com/news/2026/6/4/first-us-screwworm-case-in-60-years-should-america-be-worried,https://www.aljazeera.com/news/2026/6/4/first-us-screwworm-case-in-60-years-should-america-be-worried,aljazeera.com/news/2026/6/4/first-us-screwworm-case-in-60-years-should-america-be-worried,sitemap,,,high,og:title,jsonld:datePublished,og:description,True,200,,False,First US screwworm case in 60 years: Should America be worried?,First US screwworm case in 60 years: Should America be worried?,parsed_direct,2026-06-04 18:35:11+05:30,2026-06-04,11,extracted_verified,True,,
Al Jazeera,https://www.aljazeera.com/news/2026/6/4/hundreds-protest-in-libya-outside-un-agency-against-undocumented-migrants,https://www.aljazeera.com/news/2026/6/4/hundreds-protest-in-libya-outside-un-agency-against-undocumented-migrants,https://www.aljazeera.com/news/2026/6/4/hundreds-protest-in-libya-outside-un-agency-against-undocumented-migrants,https://www.aljazeera.com/news/2026/6/4/hundreds-protest-in-libya-outside-un-agency-against-undocumented-migrants,aljazeera.com/news/2026/6/4/hundreds-protest-in-libya-outside-un-agency-against-undocumented-migrants,sitemap,,,high,og:title,jsonld:datePublished,og:description,True,200,,False,Hundreds protest in Libya outside UN agency against undocumented migrants,Hundreds protest in Libya outside UN agency against undocumented migrants,parsed_direct,2026-06-05 00:22:34+05:30,2026-06-05,15,extracted_verified,True,,
Al Jazeera,https://www.aljazeera.com/features/2026/6/4/archaeologists-find-ancient-matrilineal-society-in-turkiyes-catalhoyuk,https://www.aljazeera.com/features/2026/6/4/archaeologists-find-ancient-matrilineal-society-in-turkiyes-catalhoyuk,https://www.aljazeera.com/features/2026/6/4/archaeologists-find-ancient-matrilineal-society-in-turkiyes-catalhoyuk,https://www.aljazeera.com/features/2026/6/4/archaeologists-find-ancient-matrilineal-society-in-turkiyes-catalhoyuk,aljazeera.com/features/2026/6/4/archaeologists-find-ancient-matrilineal-society-in-turkiyes-catalhoyuk,sitemap,,,high,og:title,jsonld:datePublished,og:description,True,200,,False,Archaeologists find ancient matrilineal society in Turkiye’s Catalhoyuk,Archaeologists find ancient matrilineal society in Turkiye’s Catalhoyuk,parsed_direct,2026-06-04 18:43:26+05:30,2026-06-04,13,extracted_verified,True,,
Al Jazeera,https://www.aljazeera.com/news/2026/6/4/democrats-force-vote-on-trumps-1-8bn-settlement-fund-in-vote-a-rama,https://www.aljazeera.com/news/2026/6/4/democrats-force-vote-on-trumps-1-8bn-settlement-fund-in-vote-a-rama,https://www.aljazeera.com/news/2026/6/4/democrats-force-vote-on-trumps-1-8bn-settlement-fund-in-vote-a-rama,https://www.aljazeera.com/news/2026/6/4/democrats-force-vote-on-trumps-1-8bn-settlement-fund-in-vote-a-rama,aljazeera.com/news/2026/6/4/democrats-force-vote-on-trumps-1-8bn-settlement-fund-in-vote-a-rama,sitemap,,,high,og:title,jsonld:datePublished,og:description,True,200,,False,Democrats force vote on Trump’s $1.8bn settlement fund in ‘vote-a-rama’,Democrats force vote on Trump’s $1.8bn settlement fund in ‘vote-a-rama’,parsed_direct,2026-06-05 04:27:15+05:30,2026-06-05,7,extracted_verified,True,,
Al Jazeera,https://www.aljazeera.com/news/2026/6/4/irelands-black-community-opens-up-about-racism-after-george-floyd-moment,https://www.aljazeera.com/news/2026/6/4/irelands-black-community-opens-up-about-racism-after-george-floyd-moment,https://www.aljazeera.com/news/2026/6/4/irelands-black-community-opens-up-about-racism-after-george-floyd-moment,https://www.aljazeera.com/news/2026/6/4/irelands-black-community-opens-up-about-racism-after-george-floyd-moment,aljazeera.com/news/2026/6/4/irelands-black-community-opens-up-about-racism-after-george-floyd-moment,sitemap,,,high,og:title,jsonld:datePublished,og:description,True,200,,False,Ireland’s Black community opens up about racism after ‘George Floyd moment’,Ireland’s Black community opens up about racism after ‘George Floyd moment’,parsed_direct,2026-06-04 15:45:17+05:30,2026-06-04,10,extracted_verified,True,,
Al Jazeera,https://www.aljazeera.com/news/2026/6/4/fighting-in-somalias-capital-as-anger-over-election-delay-erupts,https://www.aljazeera.com/news/2026/6/4/fighting-in-somalias-capital-as-anger-over-election-delay-erupts,https://www.aljazeera.com/news/2026/6/4/fighting-in-somalias-capital-as-anger-over-election-delay-erupts,https://www.aljazeera.com/news/2026/6/4/fighting-in-somalias-capital-as-anger-over-election-delay-erupts,aljazeera.com/news/2026/6/4/fighting-in-somalias-capital-as-anger-over-election-delay-erupts,sitemap,,,high,og:title,jsonld:datePublished,og:description,True,200,,False,Fighting in Somalia’s capital as anger over election delay erupts,Fighting in Somalia’s capital as anger over election delay erupts,parsed_direct,2026-06-04 18:38:00+05:30,2026-06-04,15,extracted_verified,True,,
Al Jazeera,https://www.aljazeera.com/news/2026/6/4/block-the-bombs-support-grows-for-us-bill-to-restrict-arms-for-israel,https://www.aljazeera.com/news/2026/6/4/block-the-bombs-support-grows-for-us-bill-to-restrict-arms-for-israel,https://www.aljazeera.com/news/2026/6/4/block-the-bombs-support-grows-for-us-bill-to-restrict-arms-for-israel,https://www.aljazeera.com/news/2026/6/4/block-the-bombs-support-grows-for-us-bill-to-restrict-arms-for-israel,aljazeera.com/news/2026/6/4/block-the-bombs-support-grows-for-us-bill-to-restrict-arms-for-israel,sitemap,,,high,og:title,jsonld:datePublished,og:description,True,200,,False,Block the bombs: Support grows for US bill to restrict arms for Israel,Block the bombs: Support grows for US bill to restrict arms for Israel,parsed_direct,2026-06-05 01:13:14+05:30,2026-06-05,14,extracted_verified,True,,
Al Jazeera,https://www.aljazeera.com/news/2026/6/4/did-germany-lose-its-unsc-seat-because-of-support-for-israel,https://www.aljazeera.com/news/2026/6/4/did-germany-lose-its-unsc-seat-because-of-support-for-israel,https://www.aljazeera.com/news/2026/6/4/did-germany-lose-its-unsc-seat-because-of-support-for-israel,https://www.aljazeera.com/news/2026/6/4/did-germany-lose-its-unsc-seat-because-of-support-for-israel,aljazeera.com/news/2026/6/4/did-germany-lose-its-unsc-seat-because-of-support-for-israel,sitemap,,,high,og:title,jsonld:datePublished,og:description,True,200,,False,Did Germany lose its UNSC seat because of support for Israel?,Did Germany lose its UNSC seat because of support for Israel?,parsed_direct,2026-06-04 15:17:00+05:30,2026-06-04,10,extracted_verified,True,,
Al Jazeera,https://www.aljazeera.com/news/2026/6/4/china-bans-four-new-zealand-lawmakers-over-visit-to-taiwan,https://www.aljazeera.com/news/2026/6/4/china-bans-four-new-zealand-lawmakers-over-visit-to-taiwan,https://www.aljazeera.com/news/2026/6/4/china-bans-four-new-zealand-lawmakers-over-visit-to-taiwan,https://www.aljazeera.com/news/2026/6/4/china-bans-four-new-zealand-lawmakers-over-visit-to-taiwan,aljazeera.com/news/2026/6/4/china-bans-four-new-zealand-lawmakers-over-visit-to-taiwan,sitemap,,,high,og:title,jsonld:datePublished,og:description,True,200,,False,China bans four New Zealand lawmakers over visit to Taiwan,China bans four New Zealand lawmakers over visit to Taiwan,parsed_direct,2026-06-04 13:59:29+05:30,2026-06-04,8,extracted_verified,True,,
Al Jazeera,https://www.aljazeera.com/economy/2026/6/4/grossly-unfair-meta-slams-australias-bid-to-make-platforms-pay-for-news,https://www.aljazeera.com/economy/2026/6/4/grossly-unfair-meta-slams-australias-bid-to-make-platforms-pay-for-news,https://www.aljazeera.com/economy/2026/6/4/grossly-unfair-meta-slams-australias-bid-to-make-platforms-pay-for-news,https://www.aljazeera.com/economy/2026/6/4/grossly-unfair-meta-slams-australias-bid-to-make-platforms-pay-for-news,aljazeera.com/economy/2026/6/4/grossly-unfair-meta-slams-australias-bid-to-make-platforms-pay-for-news,sitemap,,,high,og:title,jsonld:datePublished,og:description,True,200,,False,‘Grossly unfair’: Meta slams Australia’s bid to make platforms pay for news,‘Grossly unfair’: Meta slams Australia’s bid to make platforms pay for news,parsed_direct,2026-06-04 16:26:33+05:30,2026-06-04,16,extracted_verified,True,,
Al Jazeera,https://www.aljazeera.com/news/2026/6/4/indonesia-arrests-officials-in-crackdown-on-corruption,https://www.aljazeera.com/news/2026/6/4/indonesia-arrests-officials-in-crackdown-on-corruption,https://www.aljazeera.com/news/2026/6/4/indonesia-arrests-officials-in-crackdown-on-corruption,https://www.aljazeera.com/news/2026/6/4/indonesia-arrests-officials-in-crackdown-on-corruption,aljazeera.com/news/2026/6/4/indonesia-arrests-officials-in-crackdown-on-corruption,sitemap,,,high,og:title,jsonld:datePublished,og:description,True,200,,False,Indonesia arrests officials in crackdown on corruption,Indonesia arrests officials in crackdown on corruption,parsed_direct,2026-06-04 12:39:35+05:30,2026-06-04,12,extracted_verified,True,,
Al Jazeera,https://www.aljazeera.com/news/2026/6/4/iran-war-day-97-tehran-says-no-progress-in-talks-israel-attacks-lebanon,https://www.aljazeera.com/news/2026/6/4/iran-war-day-97-tehran-says-no-progress-in-talks-israel-attacks-lebanon,https://www.aljazeera.com/news/2026/6/4/iran-war-day-97-tehran-says-no-progress-in-talks-israel-attacks-lebanon,https://www.aljazeera.com/news/2026/6/4/iran-war-day-97-tehran-says-no-progress-in-talks-israel-attacks-lebanon,aljazeera.com/news/2026/6/4/iran-war-day-97-tehran-says-no-progress-in-talks-israel-attacks-lebanon,sitemap,,,high,og:title,jsonld:datePublished,og:description,True,200,,False,Iran war day 97: Tehran says no progress in talks; Israel attacks Lebanon,Iran war day 97: Tehran says no progress in talks; Israel attacks Lebanon,parsed_direct,2026-06-04 12:31:19+05:30,2026-06-04,36,extracted_verified,True,,
Al Jazeera,https://www.aljazeera.com/news/2026/6/4/how-indias-cbse-exam-scandal-set-off-student-outrage-against-pm-modi,https://www.aljazeera.com/news/2026/6/4/how-indias-cbse-exam-scandal-set-off-student-outrage-against-pm-modi,https://www.aljazeera.com/news/2026/6/4/how-indias-cbse-exam-scandal-set-off-student-outrage-against-pm-modi,https://www.aljazeera.com/news/2026/6/4/how-indias-cbse-exam-scandal-set-off-student-outrage-against-pm-modi,aljazeera.com/news/2026/6/4/how-indias-cbse-exam-scandal-set-off-student-outrage-against-pm-modi,sitemap,,,high,og:title,jsonld:datePublished,og:description,True,200,,False,How India’s CBSE exam scandal set off student outrage against PM Modi,How India’s CBSE exam scandal set off student outrage against PM Modi,parsed_direct,2026-06-04 11:44:39+05:30,2026-06-04,12,extracted_verified,True,,
Al Jazeera,https://www.aljazeera.com/economy/2026/6/4/indonesias-rupiah-falls-to-record-low-against-us-dollar,https://www.aljazeera.com/economy/2026/6/4/indonesias-rupiah-falls-to-record-low-against-us-dollar,https://www.aljazeera.com/economy/2026/6/4/indonesias-rupiah-falls-to-record-low-against-us-dollar,https://www.aljazeera.com/economy/2026/6/4/indonesias-rupiah-falls-to-record-low-against-us-dollar,aljazeera.com/economy/2026/6/4/indonesias-rupiah-falls-to-record-low-against-us-dollar,sitemap,,,high,og:title,jsonld:datePublished,og:description,True,200,,False,Indonesia’s rupiah falls to record low against US dollar,Indonesia’s rupiah falls to record low against US dollar,parsed_direct,2026-06-04 10:10:06+05:30,2026-06-04,12,extracted_verified,True,,
